ID,ImageType,Prompt
13_beginner_portfolio-site-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
13_beginner_portfolio-site-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
12_tatsuya_beginner_copilot-notebook-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
12_tatsuya_beginner_copilot-notebook-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
11_kyoko_beginner_gemini-wall-hitting-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
11_kyoko_beginner_gemini-wall-hitting-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
10_tatsuya_beginner_voice-memo-structuring-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
10_tatsuya_beginner_voice-memo-structuring-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, a clear, structured list or mind map"
09_kyoko_advanced_copilot-illustration-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
09_kyoko_advanced_copilot-illustration-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
08_tatsuya_beginner_word-to-powerpoint-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
08_tatsuya_beginner_word-to-powerpoint-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
07_kyoko_beginner_simplification-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
07_kyoko_beginner_simplification-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
06_kyoko_intermediate_copilot-coaching-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
06_kyoko_intermediate_copilot-coaching-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
05_tatsuya_beginner_gemini-in-workspace-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
05_tatsuya_beginner_gemini-in-workspace-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, a clear, structured list or mind map"
04_advanced_ai-research-agent-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
04_advanced_ai-research-agent-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
03_tatsuya_beginner_personalized-news-report-01-Before,traditionalMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, confused, tired, holding their head in frustration, sitting at a desk, looking at a messy pile of papers, tangled messy lines above the head, , "
03_tatsuya_beginner_personalized-news-report-02-After,aiMethodDiagram,"graphic recording style, simple clean line art, minimalist, on a clean plain white background, monochrome, black and white, carefully drawn consistent lines, instantly understandable situation, educational illustration, a simple stick figure person, smiling, relieved, looking clear-headed, looking at a clean, organized screen, , a friendly simple robot character, pointing to a structured list or diagram, "
