ID,ImageType,Prompt
13_beginner_portfolio-site-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person with a troubled expression, juggling scattered icons representing skills, projects, and achievements. The background is cluttered with floating abstract symbols and shapes, creating a chaotic and disorganized feel. The overall layout is unbalanced, showing a lack of clear story or structure. Simple line art, sketch-like quality."
13_beginner_portfolio-site-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as a web designer, presents a beautifully structured portfolio website on a large screen to a smiling person. The website has a clear layout with a profile picture and organized sections with simple icons. The layout is clean, balanced, and professional. Simple line art, sketch-like quality."
12_tatsuya_beginner_copilot-notebook-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person looking frustrated, trying to have a conversation with a chat window. The chat history is depicted as a series of short, disconnected bubbles, showing a shallow, context-forgetting conversation. Simple line art, sketch-like quality."
12_tatsuya_beginner_copilot-notebook-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly writing on a large, seamless digital notebook interface. A friendly AI assistant is shown reading the entire long text with a thoughtful expression, highlighting key points with abstract markers. Simple line art, sketch-like quality."
11_kyoko_beginner_gemini-wall-hitting-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown standing in front of a large, imposing brick wall, symbolizing a mental block. They look stuck and are walking in circles, as shown by a looping arrow on the ground. Simple line art, sketch-like quality."
11_kyoko_beginner_gemini-wall-hitting-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person and a friendly AI robot are looking at the brick wall together. The robot, acting as a wall-hitting partner, points to a previously unseen door in the wall, representing finding a new solution through dialogue. Simple line art, sketch-like quality."
10_tatsuya_beginner_voice-memo-structuring-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person looking confused at a smartphone. A messy, tangled audio wave comes out of it, and a separate physical memo has only cryptic scribbles. The connection between the voice memo and the idea is lost. Simple line art, sketch-like quality."
10_tatsuya_beginner_voice-memo-structuring-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person speaks into a smartphone, and a friendly AI robot catches the voice data. The robot instantly processes it and outputs a perfectly structured digital memo with clear sections and bullet points. Simple line art, sketch-like quality."
09_kyoko_advanced_copilot-illustration-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person struggling with PowerPoint's shape tools, resulting in a clumsy, unprofessional-looking diagram. The person has a frustrated expression. Simple line art, sketch-like quality."
09_kyoko_advanced_copilot-illustration-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person describes an image to a friendly AI robot. The robot, like a magician, waves a wand and instantly generates a stylish and clear illustration with abstract icons and shapes, perfectly visualizing the concept. Simple line art, sketch-like quality."
08_tatsuya_beginner_word-to-powerpoint-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking tired and bored, manually dragging text from a Word document icon to a PowerPoint slide icon. The process is depicted as a slow, tedious, and repetitive task with multiple arrows showing the back-and-forth motion. Simple line art, sketch-like quality."
08_tatsuya_beginner_word-to-powerpoint-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person simply hands a Word document icon (with correctly styled headings) to a cheerful AI robot. The robot instantly processes it and presents a fully formed, professional PowerPoint presentation. Simple line art, sketch-like quality."
07_kyoko_beginner_simplification-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An expert is talking, but their speech bubble is filled with complex symbols and technical icons. The listener, from another department, has a giant question mark over their head, showing a complete communication gap. Simple line art, sketch-like quality."
