ID,ImageType,Prompt_JP,Prompt_EN
13_beginner_portfolio-site-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。困った表情の人物が、スキル、プロジェクト、実績を表す散らばったアイコンをジャグリングしている。背景は浮遊する抽象的なシンボルや図形で乱雑になっており、混沌とした無秩序な感じを作り出している。全体的なレイアウトはアンバランスで、明確なストーリーや構造の欠如を示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person with a troubled expression, juggling scattered icons representing skills, projects, and achievements. The background is cluttered with floating abstract symbols and shapes, creating a chaotic and disorganized feel. The overall layout is unbalanced, showing a lack of clear story or structure. Simple line art, sketch-like quality."
13_beginner_portfolio-site-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットがウェブデザイナーとして、大きな画面に美しく構造化されたポートフォリオウェブサイトを微笑む人物に提示している。ウェブサイトには明確なレイアウトがあり、プロフィール写真とシンプルなアイコンで整理されたセクションがある。レイアウトはクリーンでバランスが取れており、プロフェッショナル。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as a web designer, presents a beautifully structured portfolio website on a large screen to a smiling person. The website has a clear layout with a profile picture and organized sections with simple icons. The layout is clean, balanced, and professional. Simple line art, sketch-like quality."
12_tatsuya_beginner_copilot-notebook-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がWordやメモ帳に自分の考えを長文でまとめている。デスクには積み重なった紙の束があり、ペンを持って疲れた表情で書き続けている。完全にアナログな作業環境で、デジタルツールは一切使用していない様子。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person writing long text in Word or notepad to organize their thoughts. There are stacks of paper on the desk, and they continue writing with a pen, looking tired. Completely analog work environment with no digital tools in use. Simple line art, sketch-like quality."
12_tatsuya_beginner_copilot-notebook-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が大きな、シームレスなデジタルノートブックインターフェースで冷静に書いている。友好的なAIアシスタントが、長い全体のテキストを思慮深い表情で読み、抽象的なマーカーで重要なポイントをハイライトしている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly writing on a large, seamless digital notebook interface. A friendly AI assistant is shown reading the entire long text with a thoughtful expression, highlighting key points with abstract markers. Simple line art, sketch-like quality."
11_kyoko_beginner_gemini-wall-hitting-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。一人でノートに向かい、うーん…と唸りながら考えを巡らせる人物。吹き出しには渦巻きや行き詰まりを示す記号。横には時計があり、同僚の席を見ているが、相談しづらそうな表情。結局、考えが堂々巡りしている様子を循環する矢印で表現。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person sitting alone with a notebook, groaning 'Hmm...' while pondering. Speech bubble contains swirls and symbols showing mental blocks. A clock nearby, person glancing at colleague's desk but looking hesitant to interrupt. Circular arrows show thoughts going in circles. Simple line art, sketch-like quality."
11_kyoko_beginner_gemini-wall-hitting-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がAIロボットに「新しい企画の壁打ち相手になってほしい。私は〇〇担当で、目的は△△です」と伝えている。AIロボットが的確な質問（？マーク）を投げかけ、違う視点（電球や新しい矢印）からの意見を提供。アイデアが深まっていく様子を広がる光線で表現。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person telling an AI robot 'Please be my sparring partner for new project ideas. I'm in charge of XX, and the goal is YY.' The AI robot asks pointed questions (? marks) and provides opinions from different perspectives (lightbulbs and new arrows). Ideas deepening shown by expanding light rays. Simple line art, sketch-like quality."
10_tatsuya_beginner_voice-memo-structuring-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。スマートフォンを見て困惑している人物。そこから乱雑で絡まった音声波が出ており、別の物理的なメモには判読不能な走り書きのみ。ボイスメモとアイデアの間の繋がりが失われている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person looking confused at a smartphone. A messy, tangled audio wave comes out of it, and a separate physical memo has only cryptic scribbles. The connection between the voice memo and the idea is lost. Simple line art, sketch-like quality."
10_tatsuya_beginner_voice-memo-structuring-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がスマートフォンに話しかけ、友好的なAIロボットが音声データをキャッチ。ロボットが即座に処理し、明確なセクションと箇条書きのある完璧に構造化されたデジタルメモを出力。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person speaks into a smartphone, and a friendly AI robot catches the voice data. The robot instantly processes it and outputs a perfectly structured digital memo with clear sections and bullet points. Simple line art, sketch-like quality."
09_kyoko_advanced_copilot-illustration-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。PowerPointの図形ツールで苦労している人物、不器用でプロフェッショナルでない見た目の図表になってしまっている。人物は苛立った表情。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person struggling with PowerPoint's shape tools, resulting in a clumsy, unprofessional-looking diagram. The person has a frustrated expression. Simple line art, sketch-like quality."
09_kyoko_advanced_copilot-illustration-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIロボットに画像を説明している。ロボットは魔法使いのように杖を振り、即座に抽象的なアイコンと図形でスタイリッシュで明確なイラストを生成し、コンセプトを完璧に視覚化。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person describes an image to a friendly AI robot. The robot, like a magician, waves a wand and instantly generates a stylish and clear illustration with abstract icons and shapes, perfectly visualizing the concept. Simple line art, sketch-like quality."
